Atlantic/Azores|LMT HMT -01 -02 +00 WET|-6160:0 -6872:1 -3600:2 -7200:3 -3600:2 -7200:3 -7200:3 0:4 -3600:2 -3600:2 0:5 0:4 -3600:2|01623454545454545454545454545454545454545454547454745474547454545454545454545454545454545454545454597878787878787878787878787878787:;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<<|-CAAAAAAAAAA= -ocLkcA== -bRlVYA== -ZLR2cA== -ZAEcYA== -Y2L2cA== -YjZgcA== -YYBxcA== -YFUs8A== -X6CPcA== -XnP5cA== -Xb4KcA== -XJF0cA== -W9zW8A== -WrBA8A== -Vfn0cA== -VQtU8A== -UjY78A== -UVi/8A== -UF+UcA== -T3jd8A== -TnZ38A== -TY/BcA== -TI1bcA== -S6/fcA== -SM2XcA== -R/AbcA== -RwAqcA== -RhA5cA== -Qzcr8A== -Qkc68A== -QWCEcA== -QGdY8A== -P2Ty8A== -Pod28A== -PZeF8A== -PKeU8A== -O8DecA== -Osey8A== -OcVM8A== -OKc3cA== -OCYEcA== -Nv60cA== -Ng7DcA== -NR2A8A== -NEqQ8A== -NBNAAA== -M3+YAA== -MyNA8A== -Mmqu8A== -MjyYgA== -MY1BAA== -MTokcA== -MIrM8A== -MFN8AA== -L61fAA== -L1pCcA== -Lqrq8A== -LnOaAA== -Lc19AA== -LXpgcA== -LKYe8A== -K7Yt8A== -KsYSwA== -KdYhwA== -KOYwwA== -J/Y/wA== -JwZOwA== -JhZdwA== -I0aKwA== -Ik1fQA== -IV1uQA== -IG19QA== -H32MQA== -Ho2bQA== -HZ2qQA== -HK25QA== -G73IQA== -Gs3XQA== -Gd3mQA== -GOS6wA== -F/TJwA== -FwTYwA== -FhTnwA== -FST2wA== -FDUFwA== -E0UUwA== -ElUjwA== -EWUywA== -EHVBwA== -D4VQwA== -DpVfwA== -DZw0QA== -DKxDQA== -C7xSQA== -CsxhQA== -CdxwQA== -COx/QA== -B/yOQA== -BwydQA== DZspEA== DosaEA== D4RFkA== EHQ2kA== EWQnkA== ElQmoA== E0QJkA== FDQIoA== FSP5oA== FhPqoA== FwPboA== F/PMoA== GOPLsA== GdOuoA== GsOfoA== G7zLIA== HKy8IA== HZytIA== HoyeIA== H3yPIA== IGyAIA== IVxxIA== IkxiIA== IzxTIA== JCxEIA== JRw1IA== JgwmIA== JwVRoA== J/VCoA== KOUzoA== KdUkoA== KsUVoA== K7T4kA== LKTpkA== LZTakA== LoTLkA== L3S8kA== MGStkA== MV3ZEA== MnK0EA== Mz27EA== NFKWEA== NR2dEA== NjJ4EA== Nv1/EA== OBuUkA== ON1hEA== Oft2kA== Or1DEA== O9tYkA== PKZfkA== Pbs6kA== PoZBkA== P5sckA== QGYjkA== QYQ5EA== QkYFkA== Q2QbEA== RCXnkA== RUP9EA== RgXJkA== RyPfEA== R+7mEA== SQPBEA== Sc7IEA== SuOjEA== S66qEA== TMy/kA== TY6MEA== TqyhkA== T25uEA== UIyDkA== UVeKkA== UmxlkA== UzdskA== VExHkA== VRdOkA== ViwpkA== VvcwkA== WBVGEA== WNcSkA== WfUoEA== Wrb0kA== W9UKEA== XKAREA== XbTsEA== Xn/zEA== X5TOEA== YF/VEA== YX3qkA== Yj+3EA== Y13MkA== ZB+ZEA== ZT2ukA== Zgi1kA== Zx2QkA== Z+iXkA== aP1ykA== ach5kA== at1UkA== a6hbkA== bMZxEA== bYg9kA== bqZTEA== b2gfkA== cIY1EA== cVE8EA== cmYXEA== czEeEA== dEX5EA== dREAEA== di8VkA== dvDiEA== eA73kA== eNDEEA== ee7ZkA== erCmEA== e867kA== fJnCkA== fa6dkA== fnmkkA== f45/kA== f////w==
Atlantic/Bermuda|LMT AST ADT|-15558:0 -14400:1 -10800:2|0121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121212121|-CAAAAAAAAAA= -SzziGg== CCCzYA== CRCWUA== CgCVYA== CvB4UA== C+B3YA== DNmU0A== DcBZYA== Drl20A== D6l14A== EJlY0A== EYlX4A== Enk60A== E2k54A== FFkc0A== FUkb4A== Fjj+0A== Fyj94A== GCIbUA== GQjf4A== GgH9UA== GvH8YA== G+HfUA== HNHeYA== HcHBUA== HrHAYA== H6GjUA== IHXy4A== IYGFUA== IlXU4A== I2qh0A== JDW24A== JUqD0A== JhWY4A== Jypl0A== J/61YA== KQpH0A== Kd6XYA== Kuop0A== K755YA== LNNGUA== LZ5bYA== LrMoUA== L349YA== MJMKUA== MWdZ4A== MnLsUA== M0c74A== NFLOUA== NScd4A== NjKwUA== Nwb/4A== OBvM0A== OObh4A== Ofuu0A== OsbD4A== O9uQ0A== PK/gYA== Pbty0A== Po/CYA== P5tU0A== QG+kYA== QYRxUA== Qk+GYA== Q2RTUA== RC9oYA== RUQ1UA== RfOa4A== Ry1R0A== R9N84A== SQ0z0A== SbNe4A== Su0V0A== S5x7YA== TNYyUA== TXxdYA== TrYUUA== T1w/YA== UJX2UA== UTwhYA== UnXYUA== UxwDYA== VFW6UA== VPvlYA== VjWcUA== VuUB4A== WB640A== WMTj4A== Wf6a0A== WqTF4A== W9580A== XISn4A== Xb5e0A== XmSJ4A== X55A0A== YE2mYA== YYddUA== Yi2IYA== Y2c/UA== ZA1qYA== ZUchUA== Ze1MYA== ZycDUA== Z80uYA== aQblUA== aa0QYA== aubHUA== a5Ys4A== bM/j0A== bXYO4A== bq/F0A== b1Xw4A== cI+n0A== cTXS4A== cm+J0A== cxW04A== dE9r0A== dP7RYA== djiIUA== dt6zYA== eBhqUA== eL6VYA== efhMUA== ep53YA== e9guUA== fH5ZYA== fbgQUA== fl47YA== f5fyUA==
Atlantic/Canary|LMT -01 WET WEST|-3696:0 -3600:1 0:2 3600:3 0:2 3600:3|01234545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454|-CAAAAAAAAAA= -WfujEA== -K74I4A== E002AA== FDP6kA== FSPrkA== FhPckA== FwPNkA== F/O+kA== GOOvkA== GdOgkA== GsORkA== G7y9EA== HKyuEA== HZyfEA== HoyQEA== H3yBEA== IGxyEA== IVxjEA== IkxUEA== IzxFEA== JCw2EA== JRwnEA== JgwYEA== JwVDkA== J/U0kA== KOUlkA== KdUWkA== KsUHkA== K7T4kA== LKTpkA== LZTakA== LoTLkA== L3S8kA== MGStkA== MV3ZEA== MnK0EA== Mz27EA== NFKWEA== NR2dEA== NjJ4EA== Nv1/EA== OBuUkA== ON1hEA== Oft2kA== Or1DEA== O9tYkA== PKZfkA== Pbs6kA== PoZBkA== P5sckA== QGYjkA== QYQ5EA== QkYFkA== Q2QbEA== RCXnkA== RUP9EA== RgXJkA== RyPfEA== R+7mEA== SQPBEA== Sc7IEA== SuOjEA== S66qEA== TMy/kA== TY6MEA== TqyhkA== T25uEA== UIyDkA== UVeKkA== UmxlkA== UzdskA== VExHkA== VRdOkA== ViwpkA== VvcwkA== WBVGEA== WNcSkA== WfUoEA== Wrb0kA== W9UKEA== XKAREA== XbTsEA== Xn/zEA== X5TOEA== YF/VEA== YX3qkA== Yj+3EA== Y13MkA== ZB+ZEA== ZT2ukA== Zgi1kA== Zx2QkA== Z+iXkA== aP1ykA== ach5kA== at1UkA== a6hbkA== bMZxEA== bYg9kA== bqZTEA== b2gfkA== cIY1EA== cVE8EA== cmYXEA== czEeEA== dEX5EA== dREAEA== di8VkA== dvDiEA== eA73kA== eNDEEA== ee7ZkA== erCmEA== e867kA== fJnCkA== fa6dkA== fnmkkA== f45/kA==
Atlantic/Cape_Verde|LMT -02 -01|-5644:0 -7200:1 -3600:2 -7200:1 -3600:2|012344|-CAAAAAAAAAA= -bRlVYA== -M2pj4A== -LYuD8A== Cxf3QA== f////w==
Atlantic/Faeroe|LMT WET WEST|-1624:0 0:1 3600:2 0:1|01232323232323232323232323232323232323232323232323232323232323232323232323232323232323232323232323232323232323232323|-CAAAAAAAAAA= -dJJbqA== FSPrkA== FhPckA== FwPNkA== F/O+kA== GOOvkA== GdOgkA== GsORkA== G7y9EA== HKyuEA== HZyfEA== HoyQEA== H3yBEA== IGxyEA== IVxjEA== IkxUEA== IzxFEA== JCw2EA== JRwnEA== JgwYEA== JwVDkA== J/U0kA== KOUlkA== KdUWkA== KsUHkA== K7T4kA== LKTpkA== LZTakA== LoTLkA== L3S8kA== MGStkA== MV3ZEA== MnK0EA== Mz27EA== NFKWEA== NR2dEA== NjJ4EA== Nv1/EA== OBuUkA== ON1hEA== Oft2kA== Or1DEA== O9tYkA== PKZfkA== Pbs6kA== PoZBkA== P5sckA== QGYjkA== QYQ5EA== QkYFkA== Q2QbEA== RCXnkA== RUP9EA== RgXJkA== RyPfEA== R+7mEA== SQPBEA== Sc7IEA== SuOjEA== S66qEA== TMy/kA== TY6MEA== TqyhkA== T25uEA== UIyDkA== UVeKkA== UmxlkA== UzdskA== VExHkA== VRdOkA== ViwpkA== VvcwkA== WBVGEA== WNcSkA== WfUoEA== Wrb0kA== W9UKEA== XKAREA== XbTsEA== Xn/zEA== X5TOEA== YF/VEA== YX3qkA== Yj+3EA== Y13MkA== ZB+ZEA== ZT2ukA== Zgi1kA== Zx2QkA== Z+iXkA== aP1ykA== ach5kA== at1UkA== a6hbkA== bMZxEA== bYg9kA== bqZTEA== b2gfkA== cIY1EA== cVE8EA== cmYXEA== czEeEA== dEX5EA== dREAEA== di8VkA== dvDiEA== eA73kA== eNDEEA== ee7ZkA== erCmEA== e867kA== fJnCkA== fa6dkA== fnmkkA== f45/kA==
Atlantic/Faroe|LMT WET WEST|-1624:0 0:1 3600:2 0:1|01232323232323232323232323232323232323232323232323232323232323232323232323232323232323232323232323232323232323232323|-CAAAAAAAAAA= -dJJbqA== FSPrkA== FhPckA== FwPNkA== F/O+kA== GOOvkA== GdOgkA== GsORkA== G7y9EA== HKyuEA== HZyfEA== HoyQEA== H3yBEA== IGxyEA== IVxjEA== IkxUEA== IzxFEA== JCw2EA== JRwnEA== JgwYEA== JwVDkA== J/U0kA== KOUlkA== KdUWkA== KsUHkA== K7T4kA== LKTpkA== LZTakA== LoTLkA== L3S8kA== MGStkA== MV3ZEA== MnK0EA== Mz27EA== NFKWEA== NR2dEA== NjJ4EA== Nv1/EA== OBuUkA== ON1hEA== Oft2kA== Or1DEA== O9tYkA== PKZfkA== Pbs6kA== PoZBkA== P5sckA== QGYjkA== QYQ5EA== QkYFkA== Q2QbEA== RCXnkA== RUP9EA== RgXJkA== RyPfEA== R+7mEA== SQPBEA== Sc7IEA== SuOjEA== S66qEA== TMy/kA== TY6MEA== TqyhkA== T25uEA== UIyDkA== UVeKkA== UmxlkA== UzdskA== VExHkA== VRdOkA== ViwpkA== VvcwkA== WBVGEA== WNcSkA== WfUoEA== Wrb0kA== W9UKEA== XKAREA== XbTsEA== Xn/zEA== X5TOEA== YF/VEA== YX3qkA== Yj+3EA== Y13MkA== ZB+ZEA== ZT2ukA== Zgi1kA== Zx2QkA== Z+iXkA== aP1ykA== ach5kA== at1UkA== a6hbkA== bMZxEA== bYg9kA== bqZTEA== b2gfkA== cIY1EA== cVE8EA== cmYXEA== czEeEA== dEX5EA== dREAEA== di8VkA== dvDiEA== eA73kA== eNDEEA== ee7ZkA== erCmEA== e867kA== fJnCkA== fa6dkA== fnmkkA== f45/kA==
Atlantic/Jan_Mayen|LMT CEST CET|2580:0 7200:1 3600:2 3600:2 7200:1 7200:1 3600:2|02121343434343434343434343256565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656|-CAAAAAAAAAA= -jRHblA== -ZNgdAA== -ZCuEoA== -N0iyoA== -Mxi08A== -MlbocA== -MV288A== -MG3L8A== -L33a8A== -Lo3p8A== -LZ348A== -FFDfcA== -E1ez8A== -EmfC8A== -EXfR8A== -EIfg8A== -D5fv8A== -Dqf+8A== -DbgN8A== -DMgc8A== -C9gr8A== -Cug68A== -Ce8PcA== -CND58A== -CA8tcA== Es6X8A== E01EEA== FDP6kA== FSPrkA== FhPckA== FwPNkA== F/O+kA== GOOvkA== GdOgkA== GsORkA== G7y9EA== HKyuEA== HZyfEA== HoyQEA== H3yBEA== IGxyEA== IVxjEA== IkxUEA== IzxFEA== JCw2EA== JRwnEA== JgwYEA== JwVDkA== J/U0kA== KOUlkA== KdUWkA== KsUHkA== K7T4kA== LKTpkA== LZTakA== LoTLkA== L3S8kA== MGStkA== MV3ZEA== MnK0EA== Mz27EA== NFKWEA== NR2dEA== NjJ4EA== Nv1/EA== OBuUkA== ON1hEA== Oft2kA== Or1DEA== O9tYkA== PKZfkA== Pbs6kA== PoZBkA== P5sckA== QGYjkA== QYQ5EA== QkYFkA== Q2QbEA== RCXnkA== RUP9EA== RgXJkA== RyPfEA== R+7mEA== SQPBEA== Sc7IEA== SuOjEA== S66qEA== TMy/kA== TY6MEA== TqyhkA== T25uEA== UIyDkA== UVeKkA== UmxlkA== UzdskA== VExHkA== VRdOkA== ViwpkA== VvcwkA== WBVGEA== WNcSkA== WfUoEA== Wrb0kA== W9UKEA== XKAREA== XbTsEA== Xn/zEA== X5TOEA== YF/VEA== YX3qkA== Yj+3EA== Y13MkA== ZB+ZEA== ZT2ukA== Zgi1kA== Zx2QkA== Z+iXkA== aP1ykA== ach5kA== at1UkA== a6hbkA== bMZxEA== bYg9kA== bqZTEA== b2gfkA== cIY1EA== cVE8EA== cmYXEA== czEeEA== dEX5EA== dREAEA== di8VkA== dvDiEA== eA73kA== eNDEEA== ee7ZkA== erCmEA== e867kA== fJnCkA== fa6dkA== fnmkkA== f45/kA==
Atlantic/Madeira|LMT FMT +00 -01 +01 WEST WET|-4056:0 -4056:1 0:2 -3600:3 0:2 -3600:3 -3600:3 3600:4 3600:5 0:6 0:6 0:6 3600:5|016234545454545454545454545454545454545454545474547454745474545454545454545454545454545454545454545:8989898989898;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;<;|-CAAAAAAAAAA= -ocLsqA== -bRljcA== -ZLSEgA== -ZAEqcA== -Y2MEgA== -YjZugA== -YYB/gA== -YFU7AA== -X6CdgA== -XnQHgA== -Xb4YgA== -XJGCgA== -W9zlAA== -WrBPAA== -VfoCgA== -VQtjAA== -UjZKAA== -UVjOAA== -UF+igA== -T3jsAA== -TnaGAA== -TY/PgA== -TI1pgA== -S6/tgA== -SM2lgA== -R/ApgA== -RwA4gA== -RhBHgA== -Qzc6AA== -QkdJAA== -QWCSgA== -QGdnAA== -P2UBAA== -PoeFAA== -PZeUAA== -PKejAA== -O8DsgA== -OsfBAA== -OcVbAA== -OKdFgA== -OCYSgA== -Nv7CgA== -Ng7RgA== -NR2PAA== -NEqfAA== -NBNOEA== -M3+mEA== -MyNPAA== -Mmq9AA== -MjymkA== -MY1PEA== -MToygA== -MIrbAA== -MFOKEA== -L61tEA== -L1pQgA== -Lqr5AA== -LnOoEA== -Lc2LEA== -LXpugA== -LKYtAA== -K7Y8AA== -KsYg0A== -KdYv0A== -KOY+0A== -J/ZN0A== -JwZc0A== -JhZr0A== -I0aY0A== -Ik1tUA== -IV18UA== -IG2LUA== -H32aUA== -Ho2pUA== -HZ24UA== -HK3HUA== -G73WUA== -Gs3lUA== -Gd30UA== -GOTI0A== -F/TX0A== -FwTm0A== -FhT10A== -FSUE0A== -FDUT0A== -E0Ui0A== -ElUx0A== -EWVA0A== -EHVP0A== -D4Ve0A== -DpVt0A== -DZxCUA== -DKxRUA== -C7xgUA== -CsxvUA== -Cdx+UA== -COyNUA== -B/ycUA== -BwyrUA== DZsbAA== DosMAA== D4Q3gA== EHQogA== EWQZgA== ElQYkA== E0P7gA== FDP6kA== FSPrkA== FhPckA== FwPNkA== F/O+kA== GOO9oA== GdOgkA== GsORkA== G7y9EA== HKyuEA== HZyfEA== HoyQEA== H3yBEA== IGxyEA== IVxjEA== IkxUEA== IzxFEA== JCw2EA== JRwnEA== JgwYEA== JwVDkA== J/U0kA== KOUlkA== KdUWkA== KsUHkA== K7T4kA== LKTpkA== LZTakA== LoTLkA== L3S8kA== MGStkA== MV3ZEA== MnK0EA== Mz27EA== NFKWEA== NR2dEA== NjJ4EA== Nv1/EA== OBuUkA== ON1hEA== Oft2kA== Or1DEA== O9tYkA== PKZfkA== Pbs6kA== PoZBkA== P5sckA== QGYjkA== QYQ5EA== QkYFkA== Q2QbEA== RCXnkA== RUP9EA== RgXJkA== RyPfEA== R+7mEA== SQPBEA== Sc7IEA== SuOjEA== S66qEA== TMy/kA== TY6MEA== TqyhkA== T25uEA== UIyDkA== UVeKkA== UmxlkA== UzdskA== VExHkA== VRdOkA== ViwpkA== VvcwkA== WBVGEA== WNcSkA== WfUoEA== Wrb0kA== W9UKEA== XKAREA== XbTsEA== Xn/zEA== X5TOEA== YF/VEA== YX3qkA== Yj+3EA== Y13MkA== ZB+ZEA== ZT2ukA== Zgi1kA== Zx2QkA== Z+iXkA== aP1ykA== ach5kA== at1UkA== a6hbkA== bMZxEA== bYg9kA== bqZTEA== b2gfkA== cIY1EA== cVE8EA== cmYXEA== czEeEA== dEX5EA== dREAEA== di8VkA== dvDiEA== eA73kA== eNDEEA== ee7ZkA== erCmEA== e867kA== fJnCkA== fa6dkA== fnmkkA== f45/kA==
Atlantic/Reykjavik|LMT +00 -01 GMT|-5280:0 0:1 -3600:2 -3600:2 0:1 0:3|021212121212134343434343434343434343434343434343434343434343434343435|-CAAAAAAAAAA= -dJ98YA== -Y27iAA== -Yi53cA== -YY2ugA== -YCr88A== -X6x7AA== -XknJcA== -W8PYgA== -W0aL8A== -ObLmAA== -OMLY4A== -OCXoUA== -Ntm8YA== -NjzZ4A== -NPnaYA== -NFO9YA== -MyMy4A== -MnPbYA== -MUNQ4A== -MJP5YA== -L2Nu4A== -LrQXYA== -LXpSYA== -LNQ1YA== -K5pwYA== -KsYu4A== -KbqOYA== -KOZM4A== -J9qsYA== -JwZq4A== -JfGP4A== -JSaI4A== -JBroYA== -I0am4A== -IjHL4A== -IV2KYA== -IFHp4A== -H32oYA== -HnIH4A== -HZ3GYA== -HJIl4A== -G73kYA== -GrJD4A== -Gd4CYA== -GMknYA== -F/Tl4A== -FulFYA== -FhUD4A== -FQljYA== -FDUh4A== -EymBYA== -ElU/4A== -EUmfYA== -EHVd4A== -D2m9YA== -DpV74A== -DYCg4A== -DKxfYA== -C6C+4A== -Csx9YA== -CcDc4A== -COybYA== -B+D64A== -Bwy5YA== -BgEY4A== -BSzXYA== -BBf8YA== -A0O64A==
Atlantic/South_Georgia|LMT -02|-8768:0 -7200:1|011|-CAAAAAAAAAA= -lnkCQA== f////w==
Atlantic/St_Helena|LMT GMT|-968:0 0:1|01|-CAAAAAAAAAA= -bRltuA==
