Pacific/Apia|LMT -1130 -10 -11 +13 +14|45184:0 -41216:0 -41400:1 -36000:2 -39600:3 46800:4 50400:5|0124343656565656565656565656565656565656565656565656565656566|-CAAAAAAAAAA= -kcI3AA== -bvoEAA== -JZ37yA== TJ8nsA== TZcr4A== Tn3iYA== Tv2LoA== T3cN4A== UGb+4A== UWAqYA== Ukbg4A== U0AMYA== VCbC4A== VR/uYA== Vgak4A== Vv/QYA== V+aG4A== WN+yYA== WcZo4A== Wr+UYA== W6+FYA== XKiw4A== XY9nYA== XoiS4A== X29JYA== YGh04A== YU8rYA== YkhW4A== Yy8NYA== ZCg44A== ZQ7vYA== ZhFVYA== ZvgL4A== Z/E3YA== aNft4A== adEZYA== arfP4A== a7D7YA== bJex4A== bZDdYA== bneT4A== b3C/YA== cGCwYA== cVnb4A== ckCSYA== czm94A== dCB0YA== dRmf4A== dgBWYA== dvmB4A== d+A4YA== eNlj4A== ecAaYA== erlF4A== e6k24A== fKJiYA== fYkY4A== foJEYA== f2j64A== f////w==
Pacific/Auckland|LMT NZST NZMT NZDT|41944:0 45000:1 41400:2 43200:1 46800:3 43200:1 43200:1|0212323232323232323232323232364545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454|-CAAAAAAAAAA= -vkizWA== -T0tNGA== -Tq54qA== -TYcamA== -TLwaoA== -S6c4mA== -Stw4oA== -ScdWmA== -SPxWoA== -R+d0mA== -RxM6IA== -RgeSmA== -RTNYIA== -RCewmA== -QxwXIA== -QlEJGA== -QTw1IA== -QHEnGA== -P1xTIA== -PpFFGA== -PXxxIA== -PLFjGA== -O5yPIA== -OtGBGA== -ObNyoA== -OPGfGA== -N9OQoA== -NwiCmA== -LSVlwA== CRj94A== Cayl4A== Cu+lYA== C5784A== DNjB4A== DX7e4A== Drij4A== D17A4A== EJiF4A== ET6i4A== Enhn4A== Ex6E4A== FFhJ4A== FP5m4A== Fjgr4A== FueDYA== GCFIYA== GMdlYA== GgEqYA== GqdHYA== G+EMYA== HIcpYA== HcDuYA== HmcLYA== H6DQYA== IEbtYA== IYCyYA== IjAJ4A== I2nO4A== JA/r4A== JS4BYA== JgJC4A== Jw3jYA== J+Ik4A== KO3FYA== KcIG4A== Ks2nYA== K6sjYA== LK2JYA== LYsFYA== Lo1rYA== L2rnYA== MG1NYA== MUrJYA== MlZp4A== MyqrYA== NDZL4A== NQqNYA== NhYt4A== NvOp4A== N/YP4A== ONOL4A== OdXx4A== OrNt4A== O78OYA== PJNP4A== PZ7wYA== PnMx4A== P37SYA== QFxOYA== QV60YA== QjwwYA== Qz6WYA== RBwSYA== RR54YA== Rfv0YA== Rv5aYA== R/eF4A== SN48YA== Sddn4A== Sr4eYA== S7dJ4A== TJ4AYA== TZcr4A== Tn3iYA== T3cN4A== UGb+4A== UWAqYA== Ukbg4A== U0AMYA== VCbC4A== VR/uYA== Vgak4A== Vv/QYA== V+aG4A== WN+yYA== WcZo4A== Wr+UYA== W6+FYA== XKiw4A== XY9nYA== XoiS4A== X29JYA== YGh04A== YU8rYA== YkhW4A== Yy8NYA== ZCg44A== ZQ7vYA== ZhFVYA== ZvgL4A== Z/E3YA== aNft4A== adEZYA== arfP4A== a7D7YA== bJex4A== bZDdYA== bneT4A== b3C/YA== cGCwYA== cVnb4A== ckCSYA== czm94A== dCB0YA== dRmf4A== dgBWYA== dvmB4A== d+A4YA== eNlj4A== ecAaYA== erlF4A== e6k24A== fKJiYA== fYkY4A== foJEYA== f2j64A==
Pacific/Bougainville|LMT PMMT +10 +09 +11|37336:0 35312:1 36000:2 32400:3 39600:4|0123244|-CAAAAAAAAAA= -qUmt2A== -jRJbcA== -M7zJoA== -LdSTEA== VJ7XgA== f////w==
Pacific/Chatham|LMT +1215 +1345 +1245|44028:0 44100:1 49500:2 45900:3 45900:3|01423232323232323232323232323232323232323232323232323232323232323232323232323232323232323232323232323232323232323232323232323232322|-CAAAAAAAAAA= -vki7fA== -LSVpRA== CRj94A== Cayl4A== Cu+lYA== C5784A== DNjB4A== DX7e4A== Drij4A== D17A4A== EJiF4A== ET6i4A== Enhn4A== Ex6E4A== FFhJ4A== FP5m4A== Fjgr4A== FueDYA== GCFIYA== GMdlYA== GgEqYA== GqdHYA== G+EMYA== HIcpYA== HcDuYA== HmcLYA== H6DQYA== IEbtYA== IYCyYA== IjAJ4A== I2nO4A== JA/r4A== JS4BYA== JgJC4A== Jw3jYA== J+Ik4A== KO3FYA== KcIG4A== Ks2nYA== K6sjYA== LK2JYA== LYsFYA== Lo1rYA== L2rnYA== MG1NYA== MUrJYA== MlZp4A== MyqrYA== NDZL4A== NQqNYA== NhYt4A== NvOp4A== N/YP4A== ONOL4A== OdXx4A== OrNt4A== O78OYA== PJNP4A== PZ7wYA== PnMx4A== P37SYA== QFxOYA== QV60YA== QjwwYA== Qz6WYA== RBwSYA== RR54YA== Rfv0YA== Rv5aYA== R/eF4A== SN48YA== Sddn4A== Sr4eYA== S7dJ4A== TJ4AYA== TZcr4A== Tn3iYA== T3cN4A== UGb+4A== UWAqYA== Ukbg4A== U0AMYA== VCbC4A== VR/uYA== Vgak4A== Vv/QYA== V+aG4A== WN+yYA== WcZo4A== Wr+UYA== W6+FYA== XKiw4A== XY9nYA== XoiS4A== X29JYA== YGh04A== YU8rYA== YkhW4A== Yy8NYA== ZCg44A== ZQ7vYA== ZhFVYA== ZvgL4A== Z/E3YA== aNft4A== adEZYA== arfP4A== a7D7YA== bJex4A== bZDdYA== bneT4A== b3C/YA== cGCwYA== cVnb4A== ckCSYA== czm94A== dCB0YA== dRmf4A== dgBWYA== dvmB4A== d+A4YA== eNlj4A== ecAaYA== erlF4A== e6k24A== fKJiYA== fYkY4A== foJEYA== f2j64A== f////w==
Pacific/Chuuk|LMT +10 +09|-49972:0 36428:0 36000:1 32400:2 36000:1|01232322|-CAAAAAAAAAA= -6x5AzA== -gcnZTA== -Z+5cIA== -X8YGEA== -NhX1oA== -Le7xEA== f////w==
Pacific/Easter|LMT EMT -06 -07 -05|-26248:0 -26248:1 -21600:2 -25200:3 -25200:3 -21600:2 -18000:4|014232323232323232323232323232565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656565656566|-CAAAAAAAAAA= -lni9+A== -Rji/eA== -Ai7DwA== -AW0FUA== -MzJA ctyw AXVQwA== AkBJsA== A1UywA== BCArsA== BT5PQA== BgANsA== Bwu8QA== B9/vsA== CP4TQA== Cb/RsA== Ct31QA== C6juMA== DL3XQA== DYjQMA== Dp25QA== D2iyMA== EIbVwA== EUiUMA== Ema3wA== Eyh2MA== FEaZwA== FRGSsA== FiZ7wA== FvF0sA== GAZdwA== GNFWsA== GeY/wA== GrE4sA== G89cQA== HJEasA== Ha8+QA== HnD8sA== H48gQA== IH8DMA== IW8CQA== Ijn7MA== I07kQA== JBndMA== JTgAwA== Jfm/MA== JvL4wA== J9mhMA== KPfEwA== KcK9sA== KtemwA== K6KfsA== LLeIwA== LYKBsA== LpdqwA== L2JjsA== MICHQA== MUJFsA== MmBpQA== Mz3XMA== NEBLQA== NQtEMA== Ng24QA== NwbVsA== OAAPQA== OMsIMA== OekrwA== OqrqMA== O8kNwA== PIrMMA== PajvwA== PmquMA== P4jRwA== QFPKsA== QWizwA== QjOssA== Q0iVwA== RBOOsA== RTGyQA== RfNwsA== RxGUQA== R+8CMA== SPF2QA== SbxvMA== StFYQA== S7gAsA== TLE6QA== TcYHMA== TlCCwA== T5yusA== UELZwA== UXyQsA== Uiv2QA== U1xysA== VAvYQA== VzfmMA== V6/swA== WRfIMA== WY/OwA== WveqMA== W2+wwA== XKlnsA== XXR8wA== XolJsA== X1RewA== YGkrsA== YTRAwA== YkkNsA== YxQiwA== ZCjvsA== ZPQEwA== ZhIMMA== Zt0hQA== Z/HuMA== aL0DQA== adHQMA== apzlQA== a7GyMA== bHzHQA== bZGUMA== blypQA== b3qwsA== cDyLQA== cVqSsA== ciWnwA== czp0sA== dAWJwA== dRpWsA== deVrwA== dvo4sA== d8VNwA== eNoasA== eaUvwA== esM3MA== e4URwA== fKMZMA== fW4uQA== foL7MA== f04QQA== f////w==
Pacific/Efate|LMT +12 +11|40396:0 43200:1 39600:2|02121212121212121212122|-CAAAAAAAAAA= -bQo9TA== GdL30A== GsLawA== G9pm0A== HKK8wA== HZv2UA== HoKewA== H3vYUA== IGu7QA== IVu6UA== IkudQA== IzucUA== JCt/QA== JRt+UA== JgthQA== JvtgUA== J+tDQA== KOR80A== KYFRQA== KulI0A== K2EzQA== f////w==
Pacific/Enderbury|LMT -12 -11 +13|-41060:0 -43200:1 -39600:2 46800:3|01233|-CAAAAAAAAAA= -gciqnA== ElYEwA== LwU5sA== f////w==
Pacific/Fakaofo|LMT -11 +13|-41096:0 -39600:1 46800:2|0122|-CAAAAAAAAAA= -gciqeA== Tv2ZsA== f////w==
Pacific/Fiji|LMT +13 +12|42944:0 46800:1 43200:2|02121212121212121212121212121212121212121212121212121212121212122|-CAAAAAAAAAA= -ZexOQA== NjsX4A== Ntf6YA== OCQ0YA== OLfcYA== SxEs4A== S64PYA== TMLqYA== TXJB4A== TqLMYA== TxrE4A== UIKuYA== UPqm4A== UmvK4A== Utp60A== VFTnYA== VLpq4A== VjTJYA== VppM4A== WB3l4A== WHou4A== Wf3H4A== WloQ4A== W92p4A== XDny4A== XcbGYA== XhnU4A== X6aoYA== YALxYA== YY/E4A== YeLTYA== Y2+m4A== Y8K1YA== ZU+I4A== ZaKXYA== Zy9q4A== Z4J5YA== aQ9M4A== aWuV4A== au8u4A== a0t34A== bNhLYA== bStZ4A== brgtYA== bws74A== cJgPYA== cOsd4A== cnfxYA== csr/4A== dFfTYA== dLQcYA== dkDv4A== dpP+YA== eCDR4A== eHPgYA== egCz4A== elPCYA== e+CV4A== fDOkYA== fcB34A== fhzA4A== f6BZ4A== f/yi4A== f////w==
Pacific/Funafuti|LMT +12|43012:0 43200:1|011|-CAAAAAAAAAA= -gcnzBA== f////w==
